batch_id,timestamp,store_id,store_name,store_type,address,lat,lng,in_store_stock,sap_stock,price,mrp
20260318_233216,2026-03-18 23:32:17,4,Jalan Kayu,FairPrice,"Blk 447A Jalan Kayu, #01-01/02, 791447",1.392138252483,103.872490556246,0,0,3.75,4.95
20260318_233216,2026-03-18 23:32:17,5,Katong Village Hotel,FairPrice Finest,"30 East Coast Road Katong Village Hotel #01-06/07/08/09, 428751",1.30394669999181,103.902822585763,28,28,3.75,4.95
20260318_233216,2026-03-18 23:32:18,6,Kitchener Complex,FairPrice,"Blk 808 French Road, #01-01, 200808",1.3088060941423,103.861311954595,49,49,3.75,4.95
20260318_233216,2026-03-18 23:32:19,7,Bedok Mall,FairPrice Finest,311 New Upper Changi Road #B2-60 Bedok Mall 467360,1.32473632812103,103.929256259726,0,0,3.75,4.95
20260318_233216,2026-03-18 23:32:19,8,NUH Medical Centre,FairPrice,"1 Lower Kent Ridge Road, #02-16 NUH Medical Centre, 119082",1.292774319990535,103.784084011452,0,0,3.75,4.95
20260318_233216,2026-03-18 23:32:20,10,The Seletar Mall,FairPrice Finest,"33 Sengkang West Avenue #B2-24 Seletar Mall, 797653",1.3916,103.87619,293,293,3.75,4.95
20260318_233216,2026-03-18 23:32:21,12,FairPrice Xtra Jurong Point,FairPrice Xtra,"63 Jurong Central 3, #03-01 Jurong Point, 648331",1.33931504032005,103.705350996191,106,106,3.75,4.95
20260318_233216,2026-03-18 23:32:22,13,Sun Plaza (FPS),FairPrice,"30 Sembawang Drive, #B1-01/02 Sun Plaza, 757713",1.4481966623789,103.819498634275,28,31,3.75,4.95
20260318_233216,2026-03-18 23:32:22,14,Waterway Point,FairPrice Finest,"83 Punggol Central #B2-32 Waterway Point, 828761",1.40653611690554,103.901988178171,308,308,3.75,4.95
20260318_233216,2026-03-18 23:32:23,16,Bishan Blk 510,FairPrice,"Blk 510 Bishan St 13 #01-520, 570510",1.34863,103.84989,-1,-1,0,0
20260318_233216,2026-03-18 23:32:23,17,Hyper Sports Hub (FFS),FairPrice Xtra,"1 Stadium Place, #01-29 Singapore Sports Hub, 397628",1.30307515150401,103.873149707591,0,242,3.75,4.95
20260318_233216,2026-03-18 23:32:24,18,Serangoon View,FairPrice,"Blk 476 Upper Serangoon View, #02-18, 530476",1.37735,103.90372,1,1,3.75,4.95
20260318_233216,2026-03-18 23:32:25,19,Sembawang Way,FairPrice,"Blk 355 Sembawang Way #01-01, 750355",1.44954485621129,103.81872759237,0,0,3.75,4.95
20260318_233216,2026-03-18 23:32:25,20,Changi Airport T3,FairPrice Finest,"65 Airport Boulevard, Basement 2 North Unit B2L52, #B2-10, Terminal 3, 819663",1.35622640396404,103.986102046442,19,19,3.75,4.95
20260318_233216,2026-03-18 23:32:26,21,Dover,FairPrice,"Blk 28 Dover Crescent, #01-83, 130028",1.3047635676742,103.781697199348,-1,-1,0,0
20260318_233216,2026-03-18 23:32:26,22,Upper Boon Keng,FairPrice,"Blk 5 Upper Boon Keng Road, #01-05, 380005",1.31264014497827,103.872418973561,0,0,3.75,4.95
20260318_233216,2026-03-18 23:32:27,23,Compassvale Link,FairPrice,"Blk 277C Compassvale Link, #01-13, 543277",1.38185,103.89393,73,73,3.75,4.95
20260318_233216,2026-03-18 23:32:27,24,Lorong Limau,FairPrice,"Blk 80 Lorong Limau, #01-191, 320080",1.32379607125113,103.855670620709,57,57,3.75,4.95
20260318_233216,2026-03-18 23:32:28,25,Buona Vista CC,FairPrice,"Blk 36 Holland Drive, #01-03/04/05, 270036",1.30922984207133,103.792660857646,11,11,3.75,4.95
20260318_233216,2026-03-18 23:32:29,26,Yew Tee Point,FairPrice,"21 Choa Chu Kang North 6, Yew Tee Point, #B1-01, 689578",1.39696992276974,103.746443198224,182,182,3.75,4.95
20260318_233216,2026-03-18 23:32:29,27,Joo Chiat Complex,FairPrice,"Blk 2 Joo Chiat Road #01-1139/#02-1139, Joo Chiat Complex, 420002",1.31570632173317,103.899054062785,0,0,3.75,4.95
20260318_233216,2026-03-18 23:32:30,28,City Square Mall,FairPrice,"180 Kitchener Road, City Square Mall, #B1-09/10, 208539",1.31139,103.85661,-1,-1,0,0
20260318_233216,2026-03-18 23:32:31,29,Kang Kar Mall,FairPrice,"100 Hougang Ave 10 #01-01/#02-01, Kang Kar Mall, 538767",1.37167,103.89435,62,62,3.75,4.95
20260318_233216,2026-03-18 23:32:31,30,Canberra Road Blk 511,FairPrice,"Blk 511 Canberra Road, #02-03, 750511",1.45384518789713,103.819543381113,2,2,3.75,4.95
20260318_233216,2026-03-18 23:32:32,31,Eunos Crescent Blk 5,FairPrice,"Blk 5 Eunos Crescent #01-2619/21, 400005",1.32119096792679,103.90355416253,-1,-1,0,0
20260318_233216,2026-03-18 23:32:32,34,Nex,FairPrice Xtra,"23 Serangoon Central, #03-42 Nex Mall, 556083",1.35064,103.87181,243,243,3.75,4.95
20260318_233216,2026-03-18 23:32:33,35,The Clementi Mall,FairPrice Finest,3155 Commonwealth Avenue West #B1-12/13/14 The Clementi Mall 129588,1.31489619633966,103.764423054189,123,123,3.75,4.95
20260318_233216,2026-03-18 23:32:34,36,MyVillage,FairPrice Finest,"1 Maju Ave #B1-11 to #B1-K09 Serangoon Garden Village, 556679",1.36511490572797,103.865159501442,11,11,3.75,4.95
20260318_233216,2026-03-18 23:32:34,39,Bishan North Blk 279,FairPrice,"Blk 279 Bishan St 24, #01-62/64, 570279",1.35722283118337,103.843785252615,51,51,3.75,4.95
